"","reference","species","compound","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"108","Hebert et al 1993","C. serpentina","HCB",61.3538751655629,FALSE,108.61344568662,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"109","Hebert et al 1993","C. serpentina","Oxychlordane",78.0063030463576,FALSE,149.730900088028,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"110","Hebert et al 1993","C. serpentina","Mirex",37.7088295115894,FALSE,30.4650938204225,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"111","Hebert et al 1993","C. serpentina","PCB 99",266.934296357616,FALSE,394.734700528169,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"112","Hebert et al 1993","C. serpentina","PCB 118",906.866980960265,FALSE,1162.42220950704,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"113","Hebert et al 1993","C. serpentina","PCB 146",83.3252384933775,FALSE,100.946273327465,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"114","Hebert et al 1993","C. serpentina","PCB 105",62.4105679221854,FALSE,69.1566897007042,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"115","Hebert et al 1993","C. serpentina","PCB 138",1330.52808609272,FALSE,1399.26458010563,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"116","Hebert et al 1993","C. serpentina","PCB 183",290.530514155629,FALSE,257.863848151408,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"117","Hebert et al 1993","C. serpentina","PCB 172",43.7037519122517,FALSE,47.0949234947183,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"118","Hebert et al 1993","C. serpentina","PCB 201",295.862763327815,FALSE,228.064709330986,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"119","Hebert et al 1993","C. serpentina","PCB 195",69.2300351076159,FALSE,56.463449709507,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"120","Hebert et al 1993","C. serpentina","PCB 194",214.890267466887,FALSE,172.662512411972,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"121","Hebert et al 1993","C. serpentina","Mirex",144.042044649682,FALSE,30.1021340327238,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"122","Hebert et al 1993","C. serpentina","PCB 118",205.214874946921,FALSE,431.706595091434,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"123","Hebert et al 1993","C. serpentina","PCB 138",278.622891932059,FALSE,668.932557170356,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"124","Hebert et al 1993","C. serpentina","PCB 194",58.5284891932059,FALSE,82.1828036862368,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"125","Hebert et al 1993","C. serpentina","Oxychlordane",129.298998959538,FALSE,110.356867901639,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"126","Hebert et al 1993","C. serpentina","Mirex",692.494955202312,FALSE,428.502857540984,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"127","Hebert et al 1993","C. serpentina","PCB 118",623.393285260116,FALSE,705.689704262295,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"128","Hebert et al 1993","C. serpentina","PCB 105",48.868335982659,FALSE,44.6837743114754,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"129","Hebert et al 1993","C. serpentina","PCB 138",901.525351734104,FALSE,779.253584754098,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"130","Hebert et al 1993","C. serpentina","PCB 183",171.03300916185,FALSE,124.960697639344,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"131","Hebert et al 1993","C. serpentina","PCB 201",11.588693265896,FALSE,80.8472281311475,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"132","Hebert et al 1993","C. serpentina","PCB 194",85.6226547687861,FALSE,61.3520793606557,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"133","Hebert et al 1993","C. serpentina","HCB",61.3538751655629,FALSE,130.331585666667,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"134","Hebert et al 1993","C. serpentina","Oxychlordane",78.0063030463576,FALSE,176.052345888889,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"135","Hebert et al 1993","C. serpentina","Mirex",37.7088295115894,FALSE,29.8079774222222,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"136","Hebert et al 1993","C. serpentina","PCB 99",266.934296357616,FALSE,563.602518777778,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"137","Hebert et al 1993","C. serpentina","PCB 118",906.866980960265,FALSE,1382.47473111111,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"138","Hebert et al 1993","C. serpentina","PCB 146",83.3252384933775,FALSE,125.286236,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"139","Hebert et al 1993","C. serpentina","PCB 105",62.4105679221854,FALSE,104.8462826,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"140","Hebert et al 1993","C. serpentina","PCB 138",1330.52808609272,FALSE,1638.46581111111,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"141","Hebert et al 1993","C. serpentina","PCB 183",290.530514155629,FALSE,289.971800333333,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"142","Hebert et al 1993","C. serpentina","PCB 172",43.7037519122517,FALSE,40.9766230111111,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"143","Hebert et al 1993","C. serpentina","PCB 201",295.862763327815,FALSE,266.490474555556,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"144","Hebert et al 1993","C. serpentina","PCB 195",69.2300351076159,FALSE,55.8758021666667,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"145","Hebert et al 1993","C. serpentina","PCB 194",214.890267466887,FALSE,176.432742666667,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"146","Hebert et al 1993","C. serpentina","PCB 118",96.7663621846154,FALSE,101.621782400549,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"147","Hebert et al 1993","C. serpentina","PCB 138",92.9972835692308,FALSE,115.272859753086,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"148","Hebert et al 1993","C. serpentina","HCB",313.738933688699,FALSE,313.754346624305,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"149","Hebert et al 1993","C. serpentina","Oxychlordane",371.074229850746,FALSE,284.850938602065,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"150","Hebert et al 1993","C. serpentina","Mirex",235.206168230277,FALSE,113.432141938046,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"151","Hebert et al 1993","C. serpentina","PCB 99",1193.54262750533,FALSE,1121.9531350278,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"152","Hebert et al 1993","C. serpentina","PCB 118",5247.67601705757,FALSE,4235.21967990469,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"153","Hebert et al 1993","C. serpentina","PCB 146",406.30802793177,FALSE,293.091025655282,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"154","Hebert et al 1993","C. serpentina","PCB 138",7954.53958635394,FALSE,5536.21034312947,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"155","Hebert et al 1993","C. serpentina","PCB 183",1663.40386588486,FALSE,953.508143764893,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"156","Hebert et al 1993","C. serpentina","PCB 172",268.822390618337,FALSE,152.734149404289,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"157","Hebert et al 1993","C. serpentina","PCB 201",1358.48415415778,FALSE,664.102456235107,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"158","Hebert et al 1993","C. serpentina","PCB 195",367.793023240938,FALSE,173.994261397935,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"159","Hebert et al 1993","C. serpentina","PCB 194",951.243759061834,FALSE,420.091514932486,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"160","Hebert et al 1993","C. serpentina","Oxychlordane",135.704749640288,FALSE,28.5712852599388,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"161","Hebert et al 1993","C. serpentina","PCB 99",139.030878992806,FALSE,61.0824286697248,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"162","Hebert et al 1993","C. serpentina","PCB 118",452.563775179856,FALSE,168.063563455657,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"163","Hebert et al 1993","C. serpentina","PCB 146",115.155290179856,FALSE,15.682648440367,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"164","Hebert et al 1993","C. serpentina","PCB 105",30.6885505755396,FALSE,13.1874036085627,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"165","Hebert et al 1993","C. serpentina","PCB 138",643.007052517986,FALSE,134.676634877676,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"166","Hebert et al 1993","C. serpentina","HCB",139.012882569497,FALSE,150.083890837696,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"167","Hebert et al 1993","C. serpentina","Oxychlordane",442.692730503381,FALSE,521.245027050611,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"168","Hebert et al 1993","C. serpentina","Mirex",143.710517054846,FALSE,113.894726963351,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"169","Hebert et al 1993","C. serpentina","PCB 99",1779.28598797896,FALSE,2118.2064965096,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"170","Hebert et al 1993","C. serpentina","PCB 118",8421.46588279489,FALSE,9471.78688481675,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"171","Hebert et al 1993","C. serpentina","PCB 146",269.784117054846,FALSE,265.162304537522,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"172","Hebert et al 1993","C. serpentina","PCB 105",932.122066867017,FALSE,1064.01079668412,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"173","Hebert et al 1993","C. serpentina","PCB 138",7446.59998271976,FALSE,7491.44884293194,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"174","Hebert et al 1993","C. serpentina","PCB 183",1203.08730353118,FALSE,1058.91795986038,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"175","Hebert et al 1993","C. serpentina","PCB 172",360.727568820436,FALSE,311.780912565445,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"176","Hebert et al 1993","C. serpentina","PCB 201",1610.04831855748,FALSE,1221.48464921466,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"177","Hebert et al 1993","C. serpentina","PCB 195",322.810240195342,FALSE,242.109809685864,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"178","Hebert et al 1993","C. serpentina","PCB 194",1124.44568219384,FALSE,683.402976614311,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"179","Hebert et al 1993","C. serpentina","HCB",4.13846416333524,FALSE,5.34334557872784,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"180","Hebert et al 1993","C. serpentina","PCB 118",27.0333371330668,FALSE,16.250300375391,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"181","Hebert et al 1993","C. serpentina","PCB 138",28.7715777098801,FALSE,27.1474119708029,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"182","Hebert et al 1993","C. serpentina","HCB",7.02291863674852,FALSE,6.77777545126354,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"183","Hebert et al 1993","C. serpentina","Oxychlordane",16.6313891617273,FALSE,51.3892982791817,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"184","Hebert et al 1993","C. serpentina","PCB 99",19.3226555800169,FALSE,18.7224359326113,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"185","Hebert et al 1993","C. serpentina","PCB 138",62.5062363759526,FALSE,41.8493042358604,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
