"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"24","Basile et al 2011","M. terrapin","PCB 177","liver_concentration",32.2884012539185,FALSE,4.88314883148831,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-70-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"25","Basile et al 2011","M. terrapin","PCB 202","liver_concentration",15.8307210031348,FALSE,11.1316113161132,FALSE,8.91,7.73,NA,"429.8",0,0,1,0,20,0,279,263.74,"2136-99-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"26","Basile et al 2011","M. terrapin","PCB 156","liver_concentration",22.0062695924765,FALSE,20.0492004920049,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-08-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"27","Basile et al 2011","M. terrapin","PCB 201","liver_concentration",14.7335423197492,FALSE,4.16974169741697,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"28","Basile et al 2011","M. terrapin","PCB 157","liver_concentration",8.11912225705329,FALSE,7.42927429274293,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,274,236.67,"69782-90-7","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"29","Basile et al 2011","M. terrapin","PCB 172","liver_concentration",0.846394984326019,FALSE,0.922509225092251,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"30","Basile et al 2011","M. terrapin","PCB 197","liver_concentration",5.92476489028213,FALSE,3.64083640836408,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,307,263.74,"33091-17-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"31","Basile et al 2011","M. terrapin","PCB 180_193","liver_concentration",107.523510971787,FALSE,85.4858548585486,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,NA,250.2,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"32","Basile et al 2011","M. terrapin","PCB 191","liver_concentration",1.5987460815047,FALSE,1.37761377613776,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"74472-50-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"33","Basile et al 2011","M. terrapin","PCB 170","liver_concentration",31.3479623824451,FALSE,26.0762607626076,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"35065-30-6","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"34","Basile et al 2011","M. terrapin","Mirex","liver_concentration",8.84012539184953,FALSE,5.12915129151291,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"35","Basile et al 2011","M. terrapin","PCB 199","liver_concentration",11.9122257053292,FALSE,8.01968019680197,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"52663-75-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"36","Basile et al 2011","M. terrapin","PCB 203_196","liver_concentration",28.2758620689655,FALSE,17.8351783517835,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,NA,263.74,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"37","Basile et al 2011","M. terrapin","PCB 189","liver_concentration",2.25705329153605,FALSE,1.74661746617466,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"39635-31-9","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"38","Basile et al 2011","M. terrapin","PCB 208","liver_concentration",5.17241379310345,FALSE,3.1980319803198,FALSE,9.56,8.16,NA,"464.2",0,0,1,0,21,0,337,277.27,"52663-77-1","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"39","Basile et al 2011","M. terrapin","PCB 195","liver_concentration",3.44827586206897,FALSE,2.49692496924969,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"40","Basile et al 2011","M. terrapin","PCB 207","liver_concentration",3.60501567398119,FALSE,1.86961869618696,FALSE,9.56,NA,NA,"464.2",0,0,1,0,21,0,351,277.27,"52663-79-3","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"41","Basile et al 2011","M. terrapin","PCB 194","liver_concentration",21.4420062695925,FALSE,12.6691266912669,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"42","Basile et al 2011","M. terrapin","PCB 206","liver_concentration",13.8557993730408,FALSE,7.0479704797048,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"43","Basile et al 2011","M. terrapin","PCB 209","liver_concentration",10.2194357366771,FALSE,4.08364083640836,FALSE,10.2,8.27,NA,"498.6",0,0,1,0,22,0,326,290.81,"2051-24-3","---","---","--","-","PCB - Polychlorinated biphenyls"
"44","Basile et al 2011","M. terrapin","PBDE 100","liver_concentration",5.61128526645768,FALSE,5.60885608856089,FALSE,7.66,NA,NA,"564.7",0,1,2,9.2,18,0,265,253.86,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"45","Basile et al 2011","M. terrapin","PBDE 155","liver_concentration",2.60188087774295,FALSE,2.01722017220172,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,252,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"46","Basile et al 2011","M. terrapin","PBDE 154","liver_concentration",5.8307210031348,FALSE,4.15744157441574,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,292,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"47","Basile et al 2011","M. terrapin","PBDE 153","liver_concentration",7.36677115987461,FALSE,4.84624846248462,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,276,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"48","Basile et al 2011","M. terrapin","HCB","liver_concentration",1.84952978056426,FALSE,0.54120541205412,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"49","Basile et al 2011","M. terrapin","Oxychlordane","liver_concentration",74.9216300940439,FALSE,84.009840098401,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"50","Basile et al 2011","M. terrapin","PCB 74","liver_concentration",31.3479623824451,FALSE,38.4993849938499,FALSE,6.34,6.67,NA,"292",0,0,1,0,16,0,225,209.59,"32690-93-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"51","Basile et al 2011","M. terrapin","PCB 66","liver_concentration",21.5673981191223,FALSE,33.4563345633456,FALSE,6.34,6.31,NA,"292",0,0,1,0,16,0,233,209.59,"32598-10-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"52","Basile et al 2011","M. terrapin","PCB 99","liver_concentration",120.689655172414,FALSE,189.421894218942,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"53","Basile et al 2011","M. terrapin","p,p'-DDE","liver_concentration",162.382445141066,FALSE,205.412054120541,FALSE,5.87,NA,NA,"318",0,0,2,0,18,0,269,237.01,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"54","Basile et al 2011","M. terrapin","PCB 154","liver_concentration",8.74608150470219,FALSE,11.6974169741697,FALSE,7.62,NA,NA,"360.88",0,0,1,0,18,0,274,236.67,"60145-22-4","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"55","Basile et al 2011","M. terrapin","PCB 107","liver_concentration",3.76175548589342,FALSE,10.4428044280443,FALSE,6.98,NA,NA,"326.4",0,0,1,0,17,0,259,223.13,"70424-68-9","CP1","4CL","--","2M","PCB - Polychlorinated biphenyls"
"56","Basile et al 2011","M. terrapin","PCB 149","liver_concentration",3.38557993730408,FALSE,3.01353013530135,FALSE,7.62,7.28,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-04-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"57","Basile et al 2011","M. terrapin","PCB 118","liver_concentration",257.680250783699,FALSE,329.643296432964,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"58","Basile et al 2011","M. terrapin","p,p'-DDD","liver_concentration",3.82445141065831,FALSE,0.848708487084871,FALSE,5.87,6.02,NA,"320.05",0,0,3,0,18,0,218,243.25,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
