"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"101","Basile et al 2011","M. terrapin","PCB 154","liver_concentration",8.74608150470219,FALSE,10.3813038130381,FALSE,7.62,NA,NA,"360.88",0,0,1,0,18,0,274,236.67,"60145-22-4","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"102","Basile et al 2011","M. terrapin","PCB 107","liver_concentration",3.76175548589342,FALSE,9.58179581795818,FALSE,6.98,NA,NA,"326.4",0,0,1,0,17,0,259,223.13,"70424-68-9","CP1","4CL","--","2M","PCB - Polychlorinated biphenyls"
"103","Basile et al 2011","M. terrapin","PCB 149","liver_concentration",3.38557993730408,FALSE,2.76752767527675,FALSE,7.62,7.28,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-04-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"104","Basile et al 2011","M. terrapin","PCB 118","liver_concentration",257.680250783699,FALSE,317.343173431734,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"105","Basile et al 2011","M. terrapin","p,p'-DDD","liver_concentration",3.82445141065831,FALSE,0.750307503075031,FALSE,5.87,6.02,NA,"320.05",0,0,3,0,18,0,218,243.25,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"106","Basile et al 2011","M. terrapin","PCB 188","liver_concentration",16.6457680250784,FALSE,1.11931119311193,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,287,250.2,"74487-85-7","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"107","Basile et al 2011","M. terrapin","PCB 146","liver_concentration",34.4827586206897,FALSE,33.7023370233702,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"108","Basile et al 2011","M. terrapin","PCB 153_132","liver_concentration",736.677115987461,FALSE,729.39729397294,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,NA,236.67,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"109","Basile et al 2011","M. terrapin","PCB 105","liver_concentration",68.6520376175549,FALSE,80.319803198032,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"110","Basile et al 2011","M. terrapin","PCB 137","liver_concentration",5.23510971786834,FALSE,5.49815498154982,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35694-06-5","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"111","Basile et al 2011","M. terrapin","PCB 163","liver_concentration",41.3793103448276,FALSE,19.8031980319803,FALSE,7.62,7.2,NA,"360.9",0,0,1,0,18,0,272,236.67,"74472-44-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"112","Basile et al 2011","M. terrapin","PCB 138","liver_concentration",207.523510971787,FALSE,207.872078720787,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"113","Basile et al 2011","M. terrapin","PCB 158","liver_concentration",16.551724137931,FALSE,14.760147601476,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,286,236.67,"74472-42-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"114","Basile et al 2011","M. terrapin","PCB 178","liver_concentration",134.48275862069,FALSE,11.1316113161132,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-67-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"115","Basile et al 2011","M. terrapin","PCB 187","liver_concentration",98.1191222570533,FALSE,63.3456334563346,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-68-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"116","Basile et al 2011","M. terrapin","PCB 183","liver_concentration",64.8902821316614,FALSE,57.1955719557196,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"117","Basile et al 2011","M. terrapin","PCB 167","liver_concentration",17.8683385579937,FALSE,18.0811808118081,FALSE,7.62,7.5,NA,"360.9",0,0,1,0,18,0,274,236.67,"52663-72-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"118","Basile et al 2011","M. terrapin","PCB 177","liver_concentration",32.2884012539185,FALSE,4.920049200492,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-70-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"119","Basile et al 2011","M. terrapin","PCB 202","liver_concentration",15.8307210031348,FALSE,11.7958179581796,FALSE,8.91,7.73,NA,"429.8",0,0,1,0,20,0,279,263.74,"2136-99-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"120","Basile et al 2011","M. terrapin","PCB 156","liver_concentration",22.0062695924765,FALSE,19.0651906519065,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-08-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"121","Basile et al 2011","M. terrapin","PCB 201","liver_concentration",14.7335423197492,FALSE,4.44034440344403,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"122","Basile et al 2011","M. terrapin","PCB 157","liver_concentration",8.11912225705329,FALSE,6.91266912669127,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,274,236.67,"69782-90-7","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"123","Basile et al 2011","M. terrapin","PCB 172","liver_concentration",0.846394984326019,FALSE,0.836408364083641,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"124","Basile et al 2011","M. terrapin","PCB 197","liver_concentration",5.92476489028213,FALSE,3.80073800738007,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,307,263.74,"33091-17-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"125","Basile et al 2011","M. terrapin","PCB 180_193","liver_concentration",107.523510971787,FALSE,84.5018450184502,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,NA,250.2,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"126","Basile et al 2011","M. terrapin","PCB 191","liver_concentration",1.5987460815047,FALSE,1.26691266912669,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"74472-50-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"127","Basile et al 2011","M. terrapin","PCB 170","liver_concentration",31.3479623824451,FALSE,25.0922509225092,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"35065-30-6","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"128","Basile et al 2011","M. terrapin","Mirex","liver_concentration",8.84012539184953,FALSE,5.00615006150061,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"129","Basile et al 2011","M. terrapin","PCB 199","liver_concentration",11.9122257053292,FALSE,8.08118081180812,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"52663-75-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"130","Basile et al 2011","M. terrapin","PCB 203_196","liver_concentration",28.2758620689655,FALSE,18.0811808118081,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,NA,263.74,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"131","Basile et al 2011","M. terrapin","PCB 189","liver_concentration",2.25705329153605,FALSE,1.66051660516605,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"39635-31-9","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"132","Basile et al 2011","M. terrapin","PCB 208","liver_concentration",5.17241379310345,FALSE,3.17343173431734,FALSE,9.56,8.16,NA,"464.2",0,0,1,0,21,0,337,277.27,"52663-77-1","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"133","Basile et al 2011","M. terrapin","PCB 195","liver_concentration",3.44827586206897,FALSE,2.47232472324723,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"134","Basile et al 2011","M. terrapin","PCB 207","liver_concentration",3.60501567398119,FALSE,1.89421894218942,FALSE,9.56,NA,NA,"464.2",0,0,1,0,21,0,351,277.27,"52663-79-3","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"135","Basile et al 2011","M. terrapin","PCB 194","liver_concentration",21.4420062695925,FALSE,12.7921279212792,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"136","Basile et al 2011","M. terrapin","PCB 206","liver_concentration",13.8557993730408,FALSE,6.97416974169742,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"137","Basile et al 2011","M. terrapin","PCB 209","liver_concentration",10.2194357366771,FALSE,4.07134071340713,FALSE,10.2,8.27,NA,"498.6",0,0,1,0,22,0,326,290.81,"2051-24-3","---","---","--","-","PCB - Polychlorinated biphenyls"
"138","Basile et al 2011","M. terrapin","PBDE 100","liver_concentration",5.61128526645768,FALSE,5.0430504305043,FALSE,7.66,NA,NA,"564.7",0,1,2,9.2,18,0,265,253.86,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"139","Basile et al 2011","M. terrapin","PBDE 155","liver_concentration",2.60188087774295,FALSE,1.78351783517835,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,252,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"140","Basile et al 2011","M. terrapin","PBDE 154","liver_concentration",5.8307210031348,FALSE,3.94833948339483,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,292,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"141","Basile et al 2011","M. terrapin","PBDE 153","liver_concentration",7.36677115987461,FALSE,4.94464944649446,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,276,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"142","Basile et al 2011","M. terrapin","Oxychlordane","liver_concentration",74.9216300940439,FALSE,78.7207872078721,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"143","Basile et al 2011","M. terrapin","PCB 74","liver_concentration",31.3479623824451,FALSE,32.4723247232472,FALSE,6.34,6.67,NA,"292",0,0,1,0,16,0,225,209.59,"32690-93-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"144","Basile et al 2011","M. terrapin","PCB 66","liver_concentration",21.5673981191223,FALSE,25.5842558425584,FALSE,6.34,6.31,NA,"292",0,0,1,0,16,0,233,209.59,"32598-10-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"145","Basile et al 2011","M. terrapin","PCB 99","liver_concentration",120.689655172414,FALSE,157.441574415744,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"146","Basile et al 2011","M. terrapin","p,p'-DDE","liver_concentration",162.382445141066,FALSE,177.121771217712,FALSE,5.87,NA,NA,"318",0,0,2,0,18,0,269,237.01,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"147","Basile et al 2011","M. terrapin","PCB 154","liver_concentration",8.74608150470219,FALSE,9.27429274292743,FALSE,7.62,NA,NA,"360.88",0,0,1,0,18,0,274,236.67,"60145-22-4","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"148","Basile et al 2011","M. terrapin","PCB 107","liver_concentration",3.76175548589342,FALSE,8.91758917589176,FALSE,6.98,NA,NA,"326.4",0,0,1,0,17,0,259,223.13,"70424-68-9","CP1","4CL","--","2M","PCB - Polychlorinated biphenyls"
"149","Basile et al 2011","M. terrapin","PCB 149","liver_concentration",3.38557993730408,FALSE,2.50922509225092,FALSE,7.62,7.28,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-04-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"150","Basile et al 2011","M. terrapin","PCB 118","liver_concentration",257.680250783699,FALSE,289.052890528905,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"151","Basile et al 2011","M. terrapin","p,p'-DDD","liver_concentration",3.82445141065831,FALSE,0.750307503075031,FALSE,5.87,6.02,NA,"320.05",0,0,3,0,18,0,218,243.25,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"152","Basile et al 2011","M. terrapin","PCB 188","liver_concentration",16.6457680250784,FALSE,0.861008610086101,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,287,250.2,"74487-85-7","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"153","Basile et al 2011","M. terrapin","PCB 146","liver_concentration",34.4827586206897,FALSE,29.520295202952,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"154","Basile et al 2011","M. terrapin","PCB 153_132","liver_concentration",736.677115987461,FALSE,651.906519065191,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,NA,236.67,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"155","Basile et al 2011","M. terrapin","PCB 105","liver_concentration",68.6520376175549,FALSE,74.6617466174662,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"156","Basile et al 2011","M. terrapin","PCB 137","liver_concentration",5.23510971786834,FALSE,5.10455104551045,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35694-06-5","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"157","Basile et al 2011","M. terrapin","PCB 163","liver_concentration",41.3793103448276,FALSE,20.910209102091,FALSE,7.62,7.2,NA,"360.9",0,0,1,0,18,0,272,236.67,"74472-44-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"158","Basile et al 2011","M. terrapin","PCB 138","liver_concentration",207.523510971787,FALSE,194.341943419434,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"159","Basile et al 2011","M. terrapin","PCB 158","liver_concentration",16.551724137931,FALSE,12.0049200492005,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,286,236.67,"74472-42-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"160","Basile et al 2011","M. terrapin","PCB 178","liver_concentration",134.48275862069,FALSE,9.00369003690037,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-67-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"161","Basile et al 2011","M. terrapin","PCB 187","liver_concentration",98.1191222570533,FALSE,52.1525215252152,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-68-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"162","Basile et al 2011","M. terrapin","PCB 183","liver_concentration",64.8902821316614,FALSE,48.4624846248462,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"163","Basile et al 2011","M. terrapin","PCB 167","liver_concentration",17.8683385579937,FALSE,15.6211562115621,FALSE,7.62,7.5,NA,"360.9",0,0,1,0,18,0,274,236.67,"52663-72-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"164","Basile et al 2011","M. terrapin","PCB 177","liver_concentration",32.2884012539185,FALSE,4.15744157441574,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-70-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"165","Basile et al 2011","M. terrapin","PCB 202","liver_concentration",15.8307210031348,FALSE,9.37269372693727,FALSE,8.91,7.73,NA,"429.8",0,0,1,0,20,0,279,263.74,"2136-99-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"166","Basile et al 2011","M. terrapin","PCB 156","liver_concentration",22.0062695924765,FALSE,18.2041820418204,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-08-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"167","Basile et al 2011","M. terrapin","PCB 201","liver_concentration",14.7335423197492,FALSE,3.62853628536285,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"168","Basile et al 2011","M. terrapin","PCB 157","liver_concentration",8.11912225705329,FALSE,6.74046740467405,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,274,236.67,"69782-90-7","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"169","Basile et al 2011","M. terrapin","PCB 172","liver_concentration",0.846394984326019,FALSE,0.701107011070111,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"170","Basile et al 2011","M. terrapin","PCB 197","liver_concentration",5.92476489028213,FALSE,3.17343173431734,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,307,263.74,"33091-17-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"171","Basile et al 2011","M. terrapin","PCB 180_193","liver_concentration",107.523510971787,FALSE,75.7687576875769,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,NA,250.2,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"172","Basile et al 2011","M. terrapin","PCB 191","liver_concentration",1.5987460815047,FALSE,1.14391143911439,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"74472-50-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"173","Basile et al 2011","M. terrapin","PCB 170","liver_concentration",31.3479623824451,FALSE,23.2472324723247,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"35065-30-6","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"174","Basile et al 2011","M. terrapin","Mirex","liver_concentration",8.84012539184953,FALSE,4.56334563345633,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"175","Basile et al 2011","M. terrapin","PCB 199","liver_concentration",11.9122257053292,FALSE,6.87576875768758,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"52663-75-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"176","Basile et al 2011","M. terrapin","PCB 203_196","liver_concentration",28.2758620689655,FALSE,15.7441574415744,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,NA,263.74,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"177","Basile et al 2011","M. terrapin","PCB 189","liver_concentration",2.25705329153605,FALSE,1.4760147601476,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"39635-31-9","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"178","Basile et al 2011","M. terrapin","PCB 208","liver_concentration",5.17241379310345,FALSE,2.75522755227552,FALSE,9.56,8.16,NA,"464.2",0,0,1,0,21,0,337,277.27,"52663-77-1","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"179","Basile et al 2011","M. terrapin","PCB 195","liver_concentration",3.44827586206897,FALSE,2.22632226322263,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"180","Basile et al 2011","M. terrapin","PCB 207","liver_concentration",3.60501567398119,FALSE,1.63591635916359,FALSE,9.56,NA,NA,"464.2",0,0,1,0,21,0,351,277.27,"52663-79-3","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"181","Basile et al 2011","M. terrapin","PCB 194","liver_concentration",21.4420062695925,FALSE,11.5621156211562,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"182","Basile et al 2011","M. terrapin","PCB 206","liver_concentration",13.8557993730408,FALSE,6.37146371463715,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"183","Basile et al 2011","M. terrapin","PCB 209","liver_concentration",10.2194357366771,FALSE,3.67773677736777,FALSE,10.2,8.27,NA,"498.6",0,0,1,0,22,0,326,290.81,"2051-24-3","---","---","--","-","PCB - Polychlorinated biphenyls"
"184","Basile et al 2011","M. terrapin","PBDE 100","liver_concentration",5.61128526645768,FALSE,4.89544895448955,FALSE,7.66,NA,NA,"564.7",0,1,2,9.2,18,0,265,253.86,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"185","Basile et al 2011","M. terrapin","PBDE 155","liver_concentration",2.60188087774295,FALSE,1.7220172201722,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,252,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"186","Basile et al 2011","M. terrapin","PBDE 154","liver_concentration",5.8307210031348,FALSE,3.87453874538745,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,292,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"187","Basile et al 2011","M. terrapin","PBDE 153","liver_concentration",7.36677115987461,FALSE,4.63714637146371,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,276,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"188","Basile et al 2011","M. terrapin","HCB","liver_concentration",1.84952978056426,FALSE,0.41820418204182,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"189","Basile et al 2011","M. terrapin","Oxychlordane","liver_concentration",74.9216300940439,FALSE,83.7638376383764,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"190","Basile et al 2011","M. terrapin","PCB 74","liver_concentration",31.3479623824451,FALSE,36.5313653136531,FALSE,6.34,6.67,NA,"292",0,0,1,0,16,0,225,209.59,"32690-93-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"191","Basile et al 2011","M. terrapin","PCB 66","liver_concentration",21.5673981191223,FALSE,29.1512915129151,FALSE,6.34,6.31,NA,"292",0,0,1,0,16,0,233,209.59,"32598-10-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"192","Basile et al 2011","M. terrapin","PCB 99","liver_concentration",120.689655172414,FALSE,167.281672816728,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"193","Basile et al 2011","M. terrapin","p,p'-DDE","liver_concentration",162.382445141066,FALSE,190.651906519065,FALSE,5.87,NA,NA,"318",0,0,2,0,18,0,269,237.01,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"194","Basile et al 2011","M. terrapin","PCB 154","liver_concentration",8.74608150470219,FALSE,10,FALSE,7.62,NA,NA,"360.88",0,0,1,0,18,0,274,236.67,"60145-22-4","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"195","Basile et al 2011","M. terrapin","PCB 107","liver_concentration",3.76175548589342,FALSE,9.28659286592866,FALSE,6.98,NA,NA,"326.4",0,0,1,0,17,0,259,223.13,"70424-68-9","CP1","4CL","--","2M","PCB - Polychlorinated biphenyls"
"196","Basile et al 2011","M. terrapin","PCB 149","liver_concentration",3.38557993730408,FALSE,2.69372693726937,FALSE,7.62,7.28,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-04-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"197","Basile et al 2011","M. terrapin","PCB 118","liver_concentration",257.680250783699,FALSE,305.043050430504,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"198","Basile et al 2011","M. terrapin","p,p'-DDD","liver_concentration",3.82445141065831,FALSE,0.861008610086101,FALSE,5.87,6.02,NA,"320.05",0,0,3,0,18,0,218,243.25,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"199","Basile et al 2011","M. terrapin","PCB 188","liver_concentration",16.6457680250784,FALSE,1.03321033210332,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,287,250.2,"74487-85-7","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"200","Basile et al 2011","M. terrapin","PCB 146","liver_concentration",34.4827586206897,FALSE,31.1193111931119,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"201","Basile et al 2011","M. terrapin","PCB 153_132","liver_concentration",736.677115987461,FALSE,693.726937269373,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,NA,236.67,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"202","Basile et al 2011","M. terrapin","PCB 105","liver_concentration",68.6520376175549,FALSE,74.2927429274293,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"203","Basile et al 2011","M. terrapin","PCB 137","liver_concentration",5.23510971786834,FALSE,5.14145141451414,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35694-06-5","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"204","Basile et al 2011","M. terrapin","PCB 163","liver_concentration",41.3793103448276,FALSE,20.0492004920049,FALSE,7.62,7.2,NA,"360.9",0,0,1,0,18,0,272,236.67,"74472-44-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"205","Basile et al 2011","M. terrapin","PCB 138","liver_concentration",207.523510971787,FALSE,196.80196801968,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"206","Basile et al 2011","M. terrapin","PCB 158","liver_concentration",16.551724137931,FALSE,15.7441574415744,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,286,236.67,"74472-42-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"207","Basile et al 2011","M. terrapin","PCB 178","liver_concentration",134.48275862069,FALSE,10.1845018450184,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-67-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
